,x,y,ClusterID
cell583,59,53,1
cell584,62,59,1
cell585,57,83,1
cell586,60,76,1
cell587,56,84,1
cell588,61,54,1
cell589,61,74,1
cell590,54,84,1
cell591,63,58,1
cell592,57,53,1
cell593,60,72,1
cell594,62,55,1
cell595,66,65,1
cell596,51,88,1
cell597,60,79,1
cell598,58,51,1
cell599,64,67,1
cell600,60,53,1
cell601,61,77,1
cell602,64,69,1
cell603,62,54,1
cell604,65,61,1
cell605,61,76,1
cell606,52,88,1
cell607,65,67,1
cell608,64,66,1
cell609,53,86,1
cell610,58,49,1
cell611,63,71,1
cell612,66,63,1
cell613,65,66,1
cell614,54,85,1
cell615,55,87,1
cell616,60,78,1
cell617,60,54,1
cell618,65,68,1
cell619,66,66,1
cell620,59,51,1
cell621,83,47,1
cell622,66,67,1
cell623,60,57,1
cell624,58,82,1
cell625,61,72,1
cell626,95,61,1
cell627,58,50,1
cell628,63,55,1
cell629,57,50,1
cell630,67,63,1
cell631,61,73,1
cell632,62,76,1
cell633,67,65,1
cell634,74,72,1
cell635,67,67,1
cell636,55,84,1
cell637,62,57,1
cell638,62,56,0
cell639,67,64,0
cell640,68,67,0
cell641,68,65,0
cell642,55,85,0
cell643,63,70,0
cell644,62,72,0
cell645,62,75,0
cell646,61,53,0
cell647,54,86,0
cell648,57,84,0
cell649,65,69,0
cell650,60,52,0
cell651,56,86,0
cell652,63,56,0
cell653,67,66,0
cell654,62,74,0
cell655,61,78,0
cell656,67,62,0
cell657,63,72,0
cell658,86,61,0
cell659,68,66,0
cell660,62,58,0
cell661,57,51,0
cell662,59,81,0
cell663,57,86,0
cell664,56,85,0
cell665,62,73,0
cell666,59,50,0
cell667,67,68,0
cell668,59,82,0
cell669,60,51,0
cell670,60,50,0
cell671,58,83,0
cell672,61,52,0
cell673,68,64,0
cell674,67,61,0
cell675,63,73,0
cell676,66,68,0
cell677,65,60,0
cell678,68,68,0
cell679,66,60,0
cell680,59,49,0
cell681,67,69,0
cell682,56,59,0
cell683,64,72,0
cell684,63,76,0
cell685,63,54,0
cell686,57,85,0
cell687,59,83,0
cell688,69,65,0
cell689,54,88,0
cell690,67,60,0
cell691,62,77,0
cell692,60,49,0
cell693,67,59,0
cell694,60,80,0
cell695,63,53,0
cell696,64,54,0
cell697,61,50,0
cell698,65,59,0
cell699,55,88,0
cell700,68,62,0
cell701,68,60,0
cell702,69,66,0
cell703,56,87,0
cell704,67,58,0
cell705,69,63,0
cell706,68,59,0
cell707,64,70,0
cell708,64,58,0
cell709,58,85,0
cell710,64,73,0
cell711,63,74,0
cell712,58,48,0
cell713,64,74,0
cell714,63,77,0
cell715,56,88,0
cell716,60,82,0
cell717,61,49,0
cell718,64,55,0
cell719,62,53,0
cell720,68,58,0
cell721,60,81,0
cell722,68,57,0
cell723,63,57,0
cell724,61,79,0
cell725,64,56,0
cell726,65,73,0
cell727,63,75,0
cell728,59,48,0
cell729,57,87,0
cell730,58,84,0
cell731,55,89,0
cell732,70,63,0
cell733,61,82,0
cell734,48,81,0
cell735,62,52,0
cell736,60,48,0
cell737,69,59,0
cell738,64,71,0
cell739,59,87,0
cell740,66,59,0
cell741,58,86,0
cell742,59,84,0
cell743,60,84,0
cell744,57,69,0
cell745,69,64,0
cell746,61,84,0
cell747,66,58,0
cell748,61,83,0
cell749,64,75,0
cell750,62,78,0
cell751,65,72,0
cell752,61,48,0
cell753,65,55,0
cell754,66,69,0
cell755,70,65,0
cell756,69,60,0
cell757,59,88,0
cell758,61,81,0
cell759,62,81,0
cell760,63,52,0
cell761,65,56,0
cell762,65,57,0
cell763,61,80,0
cell764,60,87,0
cell765,57,88,0
cell766,60,47,0
cell767,70,66,0
cell768,71,65,0
cell769,59,86,0
cell770,66,73,0
cell771,68,69,0
cell772,62,82,0
cell773,65,74,0
cell774,65,71,0
cell775,66,56,0
cell776,66,72,0
cell777,62,51,0
cell778,62,50,0
cell779,69,67,0
cell780,67,70,0
cell781,60,88,0
cell782,65,70,0
cell783,64,57,0
cell784,66,74,0
cell785,66,70,0
cell786,68,70,0
cell787,64,53,0
cell788,65,58,0
cell789,65,75,0
cell790,66,55,0
cell791,47,67,0
cell792,71,66,0
cell793,67,55,0
cell794,60,83,0
cell795,67,56,0
cell796,76,44,0
cell797,66,71,0
cell798,67,57,0
cell799,63,51,0
cell800,70,59,0
cell801,62,80,0
cell802,59,89,0
cell803,59,85,0
cell804,62,48,0
cell805,70,67,0
cell806,70,60,0
cell807,70,64,0
cell808,56,89,0
cell809,67,54,0
cell810,60,89,0
cell811,62,84,0
cell812,71,67,0
cell813,68,55,0
cell814,60,90,0
cell815,61,47,0
cell816,70,62,0
cell817,60,85,0
cell818,66,57,0
cell819,60,86,0
cell820,64,76,0
cell821,69,62,0
cell822,63,81,0
cell823,65,76,0
cell824,69,61,0
cell825,63,80,0
cell826,61,89,0
cell827,65,54,0
cell828,69,70,0
cell829,72,67,0
cell830,66,75,0
cell831,61,87,0
cell832,66,54,0
cell833,71,64,0
cell834,59,47,0
cell835,62,79,0
cell836,68,54,0
cell837,67,71,0
cell838,61,86,0
cell839,68,71,0
cell840,67,75,0
cell841,70,68,0
cell842,65,53,0
cell843,64,52,0
cell844,67,72,0
cell845,69,56,0
cell846,63,78,0
cell847,68,61,0
cell848,64,77,0
cell849,61,85,0
cell850,67,53,0
cell851,63,50,0
cell852,69,58,0
cell853,65,52,0
cell854,63,79,0
cell855,69,57,0
cell856,72,68,0
cell857,62,83,0
cell858,69,55,0
cell859,63,82,0
cell860,70,61,0
cell861,70,58,0
cell862,72,69,0
cell863,69,54,0
cell864,71,58,0
cell865,64,51,0
cell866,71,68,0
cell867,62,87,0
cell868,61,46,0
cell869,70,56,0
cell870,49,58,0
cell871,72,66,0
cell872,63,88,0
cell873,73,68,0
cell874,65,51,0
cell875,62,85,0
cell876,62,49,0
cell877,66,52,0
cell878,67,73,0
cell879,53,82,0
cell880,61,90,0
cell881,66,76,0
cell882,69,53,0
cell883,71,63,0
cell884,57,89,0
cell885,63,85,0
cell886,71,61,0
cell887,64,88,0
cell888,67,76,0
cell889,62,47,0
cell890,69,68,0
cell891,73,69,0
cell892,70,54,0
cell893,70,57,0
cell894,66,51,0
cell895,63,87,0
cell896,69,69,0
cell897,68,53,0
cell898,73,67,0
cell899,68,75,0
cell900,62,46,0
cell901,64,87,0
cell902,72,64,0
cell903,71,69,0
cell904,64,78,0
cell905,70,69,0
cell906,71,57,0
cell907,66,53,0
cell908,67,74,0
cell909,71,59,0
cell910,60,46,0
cell911,63,83,0
cell912,68,74,0
cell913,64,50,0
cell914,69,75,0
cell915,68,76,0
cell916,65,78,0
cell917,62,86,0
cell918,65,77,0
cell919,63,86,0
cell920,63,84,0
cell921,68,52,0
cell922,64,80,0
cell923,66,77,0
cell924,63,48,0
cell925,69,71,0
cell926,62,89,0
cell927,68,72,0
cell928,64,81,0
cell929,64,49,0
cell930,69,52,0
cell931,74,67,0
cell932,64,84,0
cell933,74,68,0
cell934,70,70,0
cell935,75,67,0
cell936,72,59,0
cell937,69,74,0
cell938,64,48,0
cell939,64,47,0
cell940,60,45,0
cell941,61,91,0
cell942,63,47,0
cell943,62,91,0
cell944,63,49,0
cell945,69,76,0
cell946,64,79,0
cell947,65,50,0
cell948,65,79,0
cell949,65,87,0
cell950,69,77,0
cell951,69,73,0
cell952,63,46,0
cell953,61,45,0
cell954,66,78,0
cell955,72,60,0
cell956,87,76,0
cell957,68,77,0
cell958,74,69,0
cell959,64,46,0
cell960,70,75,0
cell961,70,53,0
cell962,67,52,0
cell963,67,51,0
cell964,62,45,0
cell965,66,79,0
cell966,67,50,0
cell967,61,51,0
cell968,79,49,0
cell969,70,73,0
cell970,63,89,0
cell971,71,54,0
cell972,64,86,0
cell973,71,60,0
cell974,70,76,0
cell975,75,69,0
cell976,64,82,0
cell977,74,66,0
cell978,65,48,0
cell979,65,82,0
cell980,71,75,0
cell981,76,67,0
cell982,59,45,0
cell983,66,49,0
cell984,72,65,0
cell985,72,63,0
cell986,73,70,0
cell987,68,78,0
cell988,53,79,0
cell989,64,89,3
cell990,81,68,3
cell991,72,57,3
cell992,70,77,3
cell993,71,73,3
cell994,63,45,3
cell995,65,88,3
cell996,69,72,3
cell997,74,70,3
cell998,64,85,3
cell999,68,73,3
cell1000,64,83,3
cell1001,65,80,3
cell1002,70,72,3
cell1003,71,56,3
cell1004,75,58,3
cell1005,65,83,3
cell1006,67,87,3
cell1007,77,67,3
cell1008,75,66,3
cell1009,71,53,3
cell1010,66,86,3
cell1011,86,84,3
cell1012,71,76,3
cell1013,70,74,3
cell1014,67,77,3
cell1015,68,50,3
cell1016,68,51,3
cell1017,65,86,3
cell1018,70,71,3
cell1019,71,74,3
cell1020,69,51,3
cell1021,73,65,3
cell1022,71,55,3
cell1023,70,52,3
cell1024,67,49,3
cell1025,71,62,3
cell1026,73,58,3
cell1027,67,79,3
cell1028,73,59,3
cell1029,67,78,3
cell1030,64,90,3
cell1031,76,69,3
cell1032,73,64,3
cell1033,74,65,3
cell1034,69,50,3
cell1035,65,89,3
cell1036,72,70,3
cell1037,66,82,3
cell1038,70,51,3
cell1039,65,47,3
cell1040,76,66,3
cell1041,65,81,3
cell1042,77,66,3
cell1043,73,63,3
cell1044,66,88,3
cell1045,68,87,3
cell1046,66,47,3
cell1047,65,46,3
cell1048,74,63,3
cell1049,64,45,3
cell1050,77,61,3
cell1051,71,71,3
cell1052,68,79,3
cell1053,67,86,3
cell1054,73,71,3
cell1055,74,71,3
cell1056,66,46,3
cell1057,66,81,3
cell1058,71,52,3
cell1059,66,80,3
cell1060,76,68,3
cell1061,75,63,3
cell1062,77,65,3
cell1063,70,50,3
cell1064,73,57,3
cell1065,72,75,3
cell1066,67,80,3
cell1067,72,55,3
cell1068,66,48,3
cell1069,49,60,3
cell1070,67,81,3
cell1071,72,71,3
cell1072,71,70,3
cell1073,72,56,3
cell1074,68,49,3
cell1075,73,62,3
cell1076,71,72,3
cell1077,70,78,3
cell1078,75,71,3
cell1079,78,67,3
cell1080,64,91,3
cell1081,65,84,3
cell1082,67,46,3
cell1083,73,55,3
cell1084,70,49,3
cell1085,79,66,3
cell1086,72,62,3
cell1087,66,83,3
cell1088,67,82,3
cell1089,69,78,3
cell1090,71,51,3
cell1091,67,85,3
cell1092,68,81,3
cell1093,66,45,3
cell1094,72,72,3
cell1095,74,62,3
cell1096,67,47,3
cell1097,67,48,3
cell1098,66,85,3
cell1099,72,52,3
cell1100,68,80,3
cell1101,67,45,3
cell1102,65,91,3
cell1103,68,47,3
cell1104,68,45,3
cell1105,74,55,3
cell1106,74,57,3
cell1107,69,49,3
cell1108,78,68,3
cell1109,68,46,3
cell1110,67,44,3
cell1111,74,56,3
cell1112,75,65,3
cell1113,74,58,3
cell1114,72,54,3
cell1115,75,70,3
cell1116,77,68,3
cell1117,70,48,3
cell1118,65,45,3
cell1119,74,64,3
cell1120,73,56,3
cell1121,71,78,3
cell1122,82,68,3
cell1123,68,48,3
cell1124,69,48,3
cell1125,73,54,3
cell1126,76,70,3
cell1127,77,70,3
cell1128,52,74,3
cell1129,72,78,3
cell1130,69,46,3
cell1131,69,79,3
cell1132,76,65,3
cell1133,71,77,3
cell1134,72,77,3
cell1135,72,74,3
cell1136,77,64,3
cell1137,73,53,3
cell1138,72,76,3
cell1139,75,72,3
cell1140,75,56,3
cell1141,72,79,3
cell1142,75,55,3
cell1143,73,52,3
cell1144,75,64,3
cell1145,78,65,3
cell1146,71,49,3
cell1147,64,44,3
cell1148,71,50,3
cell1149,68,86,3
cell1150,65,44,3
cell1151,72,51,3
cell1152,70,79,3
cell1153,80,66,3
cell1154,76,71,3
cell1155,71,79,3
cell1156,79,68,3
cell1157,75,57,3
cell1158,67,84,3
cell1159,73,51,3
cell1160,74,54,3
cell1161,69,80,3
cell1162,68,84,3
cell1163,68,44,3
cell1164,75,73,3
cell1165,72,73,3
cell1166,73,61,3
cell1167,73,60,3
cell1168,73,78,3
cell1169,73,72,3
cell1170,76,57,3
cell1171,67,83,3
cell1172,76,64,3
cell1173,80,67,3
cell1174,75,54,3
cell1175,76,72,3
cell1176,73,73,3
cell1177,66,84,3
cell1178,69,81,3
cell1179,80,65,3
cell1180,78,64,3
cell1181,77,69,3
cell1182,68,82,3
cell1183,72,61,3
cell1184,66,44,3
cell1185,58,56,3
cell1186,74,73,3
cell1187,80,50,3
cell1188,79,65,3
cell1189,77,71,3
cell1190,74,53,3
cell1191,73,76,3
cell1192,69,82,3
cell1193,70,80,3
cell1194,78,70,3
cell1195,74,74,3
cell1196,81,66,3
cell1197,69,85,3
cell1198,73,77,3
cell1199,76,63,3
cell1200,80,64,3
cell1201,69,45,3
cell1202,70,45,3
cell1203,70,81,3
cell1204,75,62,3
cell1205,78,63,3
cell1206,70,47,3
cell1207,73,79,3
cell1208,69,83,3
cell1209,78,69,3
cell1210,80,63,3
cell1211,75,61,3
cell1212,79,64,3
cell1213,74,77,3
cell1214,74,61,3
cell1215,81,67,3
cell1216,79,67,3
cell1217,70,82,3
cell1218,77,63,3
cell1219,79,70,3
cell1220,77,62,3
cell1221,76,55,3
cell1222,80,82,3
cell1223,78,62,3
cell1224,59,64,3
cell1225,75,53,3
cell1226,80,68,3
cell1227,81,64,3
cell1228,69,84,3
cell1229,76,62,3
cell1230,72,50,3
cell1231,77,57,3
cell1232,70,83,3
cell1233,74,51,3
cell1234,72,80,3
cell1235,79,69,3
cell1236,70,84,3
cell1237,78,71,3
cell1238,77,58,3
cell1239,75,74,3
cell1240,74,52,3
cell1241,74,60,3
cell1242,76,54,3
cell1243,71,48,3
cell1244,69,44,3
cell1245,77,56,3
cell1246,70,85,3
cell1247,69,86,3
cell1248,75,52,3
cell1249,76,74,3
cell1250,59,60,3
cell1251,72,53,3
cell1252,77,73,3
cell1253,71,46,3
cell1254,78,58,3
cell1255,69,87,3
cell1256,72,58,3
cell1257,66,87,3
cell1258,82,67,3
cell1259,82,66,3
cell1260,72,46,3
cell1261,71,82,3
cell1262,82,69,3
cell1263,73,50,3
cell1264,73,88,3
cell1265,70,86,3
cell1266,80,69,3
cell1267,83,68,3
cell1268,71,83,3
cell1269,74,59,3
cell1270,77,72,3
cell1271,71,84,3
cell1272,80,62,3
cell1273,74,50,3
cell1274,75,51,3
cell1275,79,63,3
cell1276,72,83,3
cell1277,73,80,3
cell1278,79,62,3
cell1279,72,84,3
cell1280,76,75,3
cell1281,80,61,3
cell1282,78,61,3
cell1283,68,88,3
cell1284,79,61,3
cell1285,71,87,3
cell1286,68,83,3
cell1287,73,49,3
cell1288,73,75,3
cell1289,74,76,3
cell1290,79,60,3
cell1291,76,56,3
cell1292,71,85,3
cell1293,77,60,3
cell1294,76,53,3
cell1295,71,47,3
cell1296,76,61,3
cell1297,71,45,3
cell1298,75,75,3
cell1299,80,60,3
cell1300,78,60,3
cell1301,73,74,3
cell1302,81,65,3
cell1303,82,65,3
cell1304,72,47,3
cell1305,71,81,3
cell1306,76,60,3
cell1307,81,69,3
cell1308,77,53,3
cell1309,83,69,3
cell1310,69,43,3
cell1311,67,43,3
cell1312,72,82,3
cell1313,79,59,3
cell1314,70,44,3
cell1315,75,50,3
cell1316,69,42,3
cell1317,84,62,3
cell1318,75,76,3
cell1319,76,51,3
cell1320,78,56,3
cell1321,82,70,3
cell1322,81,62,3
cell1323,74,79,3
cell1324,76,76,3
cell1325,81,70,3
cell1326,78,57,3
cell1327,77,54,3
cell1328,71,86,3
cell1329,77,55,3
cell1330,77,74,3
cell1331,78,73,3
cell1332,75,60,3
cell1333,76,52,3
cell1334,72,49,3
cell1335,79,57,3
cell1336,73,47,3
cell1337,75,77,3
cell1338,78,59,3
cell1339,73,84,3
cell1340,83,70,3
cell1341,74,78,3
cell1342,75,59,3
cell1343,74,49,3
cell1344,74,75,3
cell1345,81,61,3
cell1346,72,81,3
cell1347,75,79,3
cell1348,75,49,3
cell1349,82,64,3
cell1350,81,63,3
cell1351,79,58,3
cell1352,82,63,3
cell1353,69,88,3
cell1354,80,70,3
cell1355,77,52,3
cell1356,83,63,3
cell1357,72,85,3
cell1358,77,59,3
cell1359,81,60,3
cell1360,73,81,3
cell1361,83,64,3
