,ClusterID
cell788,0
cell750,0
cell1738,3
cell1463,0
cell539,2
cell1229,0
cell280,1
cell1571,3
cell1634,3
cell397,1
cell1576,3
cell505,2
cell1476,0
cell166,0
cell1892,2
cell1257,0
cell1222,0
cell1599,3
cell1075,0
cell967,0
cell1128,0
cell1169,0
cell1204,0
cell636,0
cell145,0
cell1932,2
cell1671,3
cell830,0
cell307,1
cell1750,3
cell553,2
cell1278,0
cell337,1
cell1458,0
cell1002,0
cell308,1
cell506,2
cell1677,3
cell231,0
cell1619,3
cell118,0
cell1455,0
cell1538,0
cell1652,3
cell1514,0
cell736,0
cell951,0
cell29,0
cell810,0
cell143,0
cell1008,0
cell159,0
cell739,0
cell815,0
cell647,0
cell517,2
cell990,0
cell18,0
cell707,0
cell86,0
cell1468,0
cell152,0
cell568,2
cell1365,0
cell628,0
cell801,0
cell1480,0
cell121,0
cell1121,0
cell476,2
cell333,1
cell454,2
cell1705,3
cell1678,3
cell1302,0
cell1985,2
cell902,0
cell1948,2
cell1918,2
cell1258,0
cell1857,2
cell583,2
cell1802,2
cell1461,0
cell1151,0
cell904,0
cell105,0
cell986,0
cell1778,3
cell1135,0
cell1495,0
cell828,0
cell1820,2
cell456,2
cell705,0
cell1562,3
cell482,2
cell1027,0
cell1740,3
cell897,0
cell48,0
cell1357,0
cell1881,2
cell405,1
cell1040,0
cell85,0
cell552,2
cell1238,0
cell1441,0
cell1012,0
cell1897,2
cell1220,0
cell1126,0
cell1965,2
cell246,0
cell1230,0
cell106,0
cell1264,0
cell290,1
cell1863,2
cell488,2
cell1342,0
cell670,0
cell1130,0
cell1361,0
cell1964,2
cell270,1
cell1370,0
cell137,0
cell1618,3
cell928,0
cell845,0
cell838,0
cell1072,0
cell3,0
cell1149,0
cell1266,0
cell1313,0
cell1674,3
cell1971,2
cell449,2
cell1735,3
cell1173,0
cell245,0
cell266,1
cell946,0
cell860,0
cell1526,0
cell495,2
cell964,0
cell1055,0
cell1084,0
cell1290,0
cell418,2
cell1828,2
cell322,1
cell407,1
cell1640,3
cell1091,0
cell1569,3
cell140,0
cell1636,3
cell1941,2
cell1097,0
cell11,0
cell1662,3
cell150,0
cell409,1
cell1437,0
cell738,0
cell438,2
cell1575,3
cell749,0
cell814,0
cell278,1
cell1628,3
cell279,1
cell1885,2
cell414,2
cell1358,0
cell1052,0
cell1186,0
cell1285,0
cell1997,2
cell126,0
cell709,0
cell468,2
cell1060,0
cell372,1
cell825,0
cell1430,0
cell25,0
cell1957,2
cell176,0
cell1862,2
cell1556,3
cell187,0
cell1219,0
cell922,0
cell376,1
cell1953,2
cell1682,3
cell259,1
cell680,0
cell1378,0
cell1144,0
cell1294,0
cell171,0
cell713,0
cell675,0
cell1267,0
cell1211,0
cell37,0
cell320,1
cell1185,0
cell1490,0
cell1810,2
cell844,0
cell691,0
cell154,0
cell380,1
cell1274,0
cell1860,2
cell1626,3
cell588,0
cell1755,3
cell1423,0
cell1362,0
cell371,1
cell83,0
cell170,0
cell336,1
cell282,1
cell1067,0
cell1037,0
cell1946,2
cell1375,0
cell1265,0
cell1412,0
cell382,1
cell1580,3
cell1152,0
cell1739,3
cell1940,2
cell163,0
cell794,0
cell697,0
cell923,0
cell1014,0
cell1221,0
cell215,0
cell715,0
cell545,2
cell1200,0
cell353,1
cell871,0
cell1998,2
cell920,0
cell1016,0
cell104,0
cell894,0
cell1760,3
cell71,0
cell813,0
cell956,0
cell1561,3
cell344,1
cell580,2
cell1160,0
cell261,1
cell903,0
cell1300,0
cell1112,0
cell630,0
cell99,0
cell854,0
cell164,0
cell390,1
cell467,2
cell271,1
cell460,2
cell1607,3
cell608,0
cell306,1
cell918,0
cell1888,2
cell1688,3
cell1861,2
cell811,0
cell1787,3
cell1745,3
cell1698,3
cell1390,0
cell1913,2
cell937,0
cell455,2
cell690,0
cell1503,0
cell654,0
cell1198,0
cell571,2
cell1931,2
cell858,0
cell1178,0
cell439,2
cell607,0
cell1801,3
cell1367,0
cell1462,0
cell168,0
cell1829,2
cell1485,0
cell7,0
cell1134,0
cell685,0
cell158,0
cell667,0
cell1586,3
cell1984,2
cell1000,0
cell1447,0
cell1510,0
cell206,0
cell1065,0
cell345,1
cell656,0
cell238,0
cell1087,0
cell1939,2
cell947,0
cell1400,0
cell369,1
cell387,1
cell1743,3
cell575,2
cell334,1
cell1281,0
cell942,0
cell783,0
cell524,2
cell1228,0
cell649,0
cell877,0
cell1917,2
cell1343,0
cell1866,2
cell1565,3
cell1763,3
cell1045,0
cell1224,0
cell1041,0
cell1142,0
cell1663,3
cell254,1
cell1895,2
cell562,2
cell1026,0
cell1528,0
cell15,0
cell544,2
cell1053,0
cell885,0
cell551,2
cell1433,0
cell1968,2
cell114,0
cell466,2
cell1207,0
cell469,2
cell1153,0
cell1912,2
cell1989,2
cell1426,0
cell796,0
cell1471,0
cell1765,3
cell1022,0
cell514,2
cell1209,0
cell746,0
cell1817,2
cell714,0
cell712,0
cell1038,0
cell200,0
cell520,2
cell1545,0
cell53,0
cell156,0
cell58,0
cell1914,2
cell240,0
